"gel","lane","condition","vial"
"150518_MG002_Gel_01.jpg","L1","Ladder","L"
"150518_MG002_Gel_01.jpg","L2","8w37c","3-64.E7"
"150518_MG002_Gel_01.jpg","L3","Control","5-61.D4"
"150518_MG002_Gel_01.jpg","L4","2w37c","5-13.C4"
"150518_MG002_Gel_01.jpg","L5","8w4c","5-45.B4"
"150518_MG002_Gel_01.jpg","L6","Control","5-61.D4"
"150518_MG002_Gel_01.jpg","L7","8w4c","3-34.A9"
"150518_MG002_Gel_01.jpg","L8","Ladder","L"
"150520_MG002_Gel_02.jpg","L1","Ladder","L"
"150520_MG002_Gel_02.jpg","L2","2w37c","16-26.C9"
"150520_MG002_Gel_02.jpg","L3","Control","5-61.D4"
"150520_MG002_Gel_02.jpg","L4","8w4c","6-73.G3"
"150520_MG002_Gel_02.jpg","L5","2w4c","16-14.A10"
"150520_MG002_Gel_02.jpg","L6","Control","6-54.J7"
"150520_MG002_Gel_02.jpg","L7","8w37c","6-13.I1"
"150520_MG002_Gel_02.jpg","L8","Ladder","L"
"150601_MG002_Gel_03.jpg","L1","Ladder","L"
"150601_MG002_Gel_03.jpg","L2","2w4c","19-24.C8"
"150601_MG002_Gel_03.jpg","L3","Control","6-60.F2"
"150601_MG002_Gel_03.jpg","L4","8w37c","13-30.F4"
"150601_MG002_Gel_03.jpg","L5","8w4c","13-11.E5"
"150601_MG002_Gel_03.jpg","L6","Control","6-54.J7"
"150601_MG002_Gel_03.jpg","L7","2w37c","19-70.D1"
"150601_MG002_Gel_03.jpg","L8","Ladder","L"
"150608_MG002_Gel_04.jpg","L1","Ladder","L"
"150608_MG002_Gel_04.jpg","L2","2w37c","5-13.C4"
"150608_MG002_Gel_04.jpg","L3","Control","6-54.J7"
"150608_MG002_Gel_04.jpg","L4","2w4c","5-45.B4"
"150608_MG002_Gel_04.jpg","L5","8w37c","3-64.E7"
"150608_MG002_Gel_04.jpg","L6","Control","5-61.D4"
"150608_MG002_Gel_04.jpg","L7","8w4c","3-34.A9"
"150608_MG002_Gel_04.jpg","L8","Ladder","L"
"150615_MG002_Gel_05.jpg","L1","Ladder","L"
"150615_MG002_Gel_05.jpg","L2","Blank","Blank"
"150615_MG002_Gel_05.jpg","L3","Control","5-44.I7"
"150615_MG002_Gel_05.jpg","L4","8w4c","6-73.G3"
"150615_MG002_Gel_05.jpg","L5","2w37c","16-26.C9"
"150615_MG002_Gel_05.jpg","L6","Control","6-54.J7"
"150615_MG002_Gel_05.jpg","L7","2w4c","16-14.A10"
"150615_MG002_Gel_05.jpg","L8","Ladder","L"
"150616_MG002_Gel_06.jpg","L1","Ladder","L"
"150616_MG002_Gel_06.jpg","L2","8w4c","13-11.E5"
"150616_MG002_Gel_06.jpg","L3","Control","6-60.F2"
"150616_MG002_Gel_06.jpg","L4","8w37c","13-30.F4"
"150616_MG002_Gel_06.jpg","L5","2w37c","19-70.D1"
"150616_MG002_Gel_06.jpg","L6","Control","5-61.D4"
"150616_MG002_Gel_06.jpg","L7","2w4c","19-24.C8"
"150616_MG002_Gel_06.jpg","L8","Ladder","L"
